
75056,Paris,75000,75
78646,Versailles,78000,78
91692,Évry-Courcouronnes,91000,91
69123,Lyon,69000,69
38185,Grenoble,38000,38
13055,Marseille,13000,13
83137,Toulon,83000,83
31555,Toulouse,31000,31
34172,Montpellier,34000,34
59350,Lille,59000,59
62041,Arras,62000,62
67482,Strasbourg,67000,67
51108,Reims,51100,51
14118,Caen,14000,14
76540,Rouen,76000,76
33063,Bordeaux,33000,33
86194,Poitiers,86000,86
35238,Rennes,35000,35
56260,Vannes,56000,56
37261,Tours,37000,37
41018,Blois,41000,41
21231,Dijon,21000,21
70270,Vesoul,70000,70
2A004,Ajaccio,20000,2A
2B033,Bastia,20200,2B
